Trapezius TrP 1;-Occiptale-Temporale-Neck-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/trap1.jpg">
Trapezius TrP 2;-Neck-ShoulderGirdle-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/trap2.jpg">
Trapezius TrP 3;-Neck-ShoulderGirdle-ThoracicPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/trap3.jpg">
Trapezius TrP 4;-ThoracicPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/trap4.jpg">
Levator Scapula TrP 1;-Neck-ShoulderGirdle-ThoracicPos-ShoulderPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/levscap1.jpg">
Levator Scapula TrP 2;-ShoulderPos-ArmMedAnt-ForearmMedAnt-LittleFinger-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/levscap2.jpg">
Rhomboideii TrP;-ThoracicPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/rhomb.jpg">
Pectoralis Major Pars Clavicularis TrP 1;-ShoulderAnt-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/pecmajclav.jpg">
Pectoralis Major Pars Sternalis TrP 1 & 2;-ThoracicAnt-ShoulderAnt-ArmMedAnt-ForearmMedAnt-LittleFinger-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/pecmajster.jpg">
Pectoralis Major Pars Abdominalis TrP 1 & 2;-ThoracicAnt-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/pecmajabd.jpg">
Pectoralis Minor TrP 1;-ThoracicAnt-ShoulderAnt-ArmMedAnt-ForearmMedAnt-LittleFinger-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/pecmin.jpg">
Subclavius TrP 1;-ThoracicAnt-ShoulderAnt-ArmMedAnt-ForearmLatAnt-Thumb-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/subclav.jpg">
Deltoideus TrP;-ShoulderPos-ShoulderAnt-ArmMedAnt-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/delt.jpg">
Teres Major TrP;-ShoulderPos-ForearmLatPos-ForearmMedPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/termaj.jpg">
Supraspinatus TrP 1;-ShoulderAnt-ArmLatAnt-ForearmLatPos-ShoulderGirdle-ShoulderPos-ArmLatAnt-ForearmLatAnt-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/supra1.jpg">
Supraspinatus TrP 2;-ShoulderAnt-ShoulderPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/supra2.jpg">
Infraspinatus TrP 1;-ShoulderPos-ShoulderAnt-ArmMedAnt-ArmLatAnt-ForearmLatAnt-ForearmLatPos-ThumbAnt-ThumbPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/infra1.jpg">
Infraspinatus TrP 2;-ShoulderGirdle-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/infra2.jpg">
Teres minor TrP;-ShoulderPos-ArmMedPos-ArmMedPos;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/termin.jpg">
Subscapularis TrP;-ShoulderAnt-ShoulderPos-ArmMedPos-ArmLatPos-WristAnt-WristPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/subscap.jpg">
Sternocleidomastoideus TrP 1, 2 & 3;-Occiptale-Temporale-Face-Throat-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/sterno1.jpg">
Sternocleidomastoideus TrP 4, 5 & 6;-Occiptale-Temporale-Face-ShoulderGirdle;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/sterno2.jpg">
Scalenii  TrP;-ShoulderGirdle-ShoulderPos-ArmMedLat-ForearmLatPos-ThumbPos-ThoracicAnt-ShoulderAnt-ArmLatAnt-ForearmLatAnt-ThumbAnt-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/scalenii.jpg">
Suboccipitale  TrP;-Temporale-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/subocc.jpg">
Latissimus Dorsi TrP 1;-ShoulderGirdle-ArmMedPos-ArmMedAnt-ForearmMedPos-ForearmMedAnt-LittleFingerAnt-LittleFingerPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/latdor1.jpg">
Latissimus Dorsi TrP 2;-LowerBack-ShoulderPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/latdor2.jpg">
Latissimus Dorsi TrP 3;-ThoracicPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/latdor3.jpg">
Quadratus Lumborum TrP 1 & 2;-Buttock-Ilium-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/ql1.jpg">
Quadratus Lumborum TrP 3;-Buttock-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/ql2.jpg">
Biceps femoris;-ThighPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/bicfem.jpg">
Semitendinosus & Semimembranosus;-ThighPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/semi.jpg">
Gluteus Maximus TrP 1, 2 & 3;-Buttock-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/glutmax.jpg">
Gluteus Medius TrP 1;-LowerBack-Buttock-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/glutmed1.jpg">
Gluteus Medius TrP 2;-Buttock-ThighPos-ThighLat-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/glutmed2.jpg">
Gluteus Medius TrP 3;-LowerBack-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/glutmed3.jpg">
Gluteus Minimus TrP ;-Buttock-Ilium-ThighPos-ShinLatPos-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/glutmin.jpg">
Iliopsoas TrP;-ThighAnt-LowerBack-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/iliop.jpg">
Rectus Femoris;-ThighAnt-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/recfem.jpg">
Tensor Fascia Latae;-ThighLat-;<img class="img-responsive customer-img img-rounded" alt="" src="images/trp/tfl.jpg">
